X,l(x),d(x)
0,"1,000,000.00",1073.916667
0,"998,926.08",1073.916667
0,"997,852.17",1073.916667
0,"996,778.25",1073.916667
0,"995,704.33",1073.916667
0,"994,630.42",1073.916667
0,"993,556.50",1073.916667
0,"992,482.58",1073.916667
0,"991,408.67",1073.916667
0,"990,334.75",1073.916667
0,"989,260.83",1073.916667
0,"988,186.92",1073.916667
1,"987,113.00",158.8333333
1,"986,954.17",158.8333333
1,"986,795.33",158.8333333
1,"986,636.50",158.8333333
1,"986,477.67",158.8333333
1,"986,318.83",158.8333333
1,"986,160.00",158.8333333
1,"986,001.17",158.8333333
1,"985,842.33",158.8333333
1,"985,683.50",158.8333333
1,"985,524.67",158.8333333
1,"985,365.83",158.8333333
2,"985,207.00",89
2,"985,118.00",89
2,"985,029.00",89
2,"984,940.00",89
2,"984,851.00",89
2,"984,762.00",89
2,"984,673.00",89
2,"984,584.00",89
2,"984,495.00",89
2,"984,406.00",89
2,"984,317.00",89
2,"984,228.00",89
3,"984,139.00",58.41666667
3,"984,080.58",58.41666667
3,"984,022.17",58.41666667
3,"983,963.75",58.41666667
3,"983,905.33",58.41666667
3,"983,846.92",58.41666667
3,"983,788.50",58.41666667
3,"983,730.08",58.41666667
3,"983,671.67",58.41666667
3,"983,613.25",58.41666667
3,"983,554.83",58.41666667
3,"983,496.42",58.41666667
4,"983,438.00",44.66666667
4,"983,393.33",44.66666667
4,"983,348.67",44.66666667
4,"983,304.00",44.66666667
4,"983,259.33",44.66666667
4,"983,214.67",44.66666667
4,"983,170.00",44.66666667
4,"983,125.33",44.66666667
4,"983,080.67",44.66666667
4,"983,036.00",44.66666667
4,"982,991.33",44.66666667
4,"982,946.67",44.66666667
5,"982,902.00",40.58333333
5,"982,861.42",40.58333333
5,"982,820.83",40.58333333
5,"982,780.25",40.58333333
5,"982,739.67",40.58333333
5,"982,699.08",40.58333333
5,"982,658.50",40.58333333
5,"982,617.92",40.58333333
5,"982,577.33",40.58333333
5,"982,536.75",40.58333333
5,"982,496.17",40.58333333
5,"982,455.58",40.58333333
6,"982,415.00",38.66666667
6,"982,376.33",38.66666667
6,"982,337.67",38.66666667
6,"982,299.00",38.66666667
6,"982,260.33",38.66666667
6,"982,221.67",38.66666667
6,"982,183.00",38.66666667
6,"982,144.33",38.66666667
6,"982,105.67",38.66666667
6,"982,067.00",38.66666667
6,"982,028.33",38.66666667
6,"981,989.67",38.66666667
7,"981,951.00",35.75
7,"981,915.25",35.75
7,"981,879.50",35.75
7,"981,843.75",35.75
7,"981,808.00",35.75
7,"981,772.25",35.75
7,"981,736.50",35.75
7,"981,700.75",35.75
7,"981,665.00",35.75
7,"981,629.25",35.75
7,"981,593.50",35.75
7,"981,557.75",35.75
8,"981,522.00",34.25
8,"981,487.75",34.25
8,"981,453.50",34.25
8,"981,419.25",34.25
8,"981,385.00",34.25
8,"981,350.75",34.25
8,"981,316.50",34.25
8,"981,282.25",34.25
8,"981,248.00",34.25
8,"981,213.75",34.25
8,"981,179.50",34.25
8,"981,145.25",34.25
9,"981,111.00",33.58333333
9,"981,077.42",33.58333333
9,"981,043.83",33.58333333
9,"981,010.25",33.58333333
9,"980,976.67",33.58333333
9,"980,943.08",33.58333333
9,"980,909.50",33.58333333
9,"980,875.92",33.58333333
9,"980,842.33",33.58333333
9,"980,808.75",33.58333333
9,"980,775.17",33.58333333
9,"980,741.58",33.58333333
10,"980,708.00",32.66666667
10,"980,675.33",32.66666667
10,"980,642.67",32.66666667
10,"980,610.00",32.66666667
10,"980,577.33",32.66666667
10,"980,544.67",32.66666667
10,"980,512.00",32.66666667
10,"980,479.33",32.66666667
10,"980,446.67",32.66666667
10,"980,414.00",32.66666667
10,"980,381.33",32.66666667
10,"980,348.67",32.66666667
11,"980,316.00",31.25
11,"980,284.75",31.25
11,"980,253.50",31.25
11,"980,222.25",31.25
11,"980,191.00",31.25
11,"980,159.75",31.25
